STATE_UT_x,DISTRICT,YEAR,CASES,STATE_UT_y,POPULATION,CRIME_RATE
MAHARASHTRA,MUMBAI,2011,35118,MAHARASHTRA,12442373,282.2451955
MAHARASHTRA,THANE,2011,15658,MAHARASHTRA,11060148,141.5713424
WEST BENGAL,24 PARGANAS NORTH,2011,17412,WEST BENGAL,10009781,173.9498596
KARNATAKA,BANGALORE,2011,35198,KARNATAKA,9621551,365.8245952
MAHARASHTRA,PUNE,2011,13084,MAHARASHTRA,9429408,138.7573854
WEST BENGAL,24 PARGANAS SOUTH,2011,15252,WEST BENGAL,8161961,186.8668571
GUJARAT,AHMADABAD,2011,23891,GUJARAT,7214225,331.1651633
WEST BENGAL,MURSHIDABAD,2011,14154,WEST BENGAL,7103807,199.2452779
RAJASTHAN,JAIPUR,2011,24102,RAJASTHAN,6626178,363.7390967
MAHARASHTRA,NASIK,2011,9501,MAHARASHTRA,6107187,155.5708053
GUJARAT,SURAT,2011,11854,GUJARAT,6081322,194.924722
UTTAR PRADESH,ALLAHABAD,2011,6256,UTTAR PRADESH,5954391,105.0653207
WEST BENGAL,PASCHIM MIDNAPUR,2011,5494,WEST BENGAL,5913457,92.90673797
BIHAR,PATNA,2011,13712,BIHAR,5838465,234.8562507
WEST BENGAL,HOOGHLY,2011,5391,WEST BENGAL,5519145,97.67817298
ANDHRA PRADESH,RANGA REDDY,2011,1792,ANDHRA PRADESH,5296741,33.83212432
WEST BENGAL,NADIA,2011,12271,WEST BENGAL,5167600,237.4603297
ANDHRA PRADESH,EAST GODAVARI,2011,7111,ANDHRA PRADESH,5154296,137.962585
WEST BENGAL,PURAB MIDNAPUR,2011,4665,WEST BENGAL,5095875,91.54463169
ANDHRA PRADESH,GUNTUR,2011,10959,ANDHRA PRADESH,4887813,224.2107053
WEST BENGAL,HOWRAH,2011,10823,WEST BENGAL,4850029,223.1533049
BIHAR,MUZAFFARPUR,2011,6827,BIHAR,4801062,142.1977054
KARNATAKA,BELGAUM,2011,7393,KARNATAKA,4779661,154.6762417
UTTAR PRADESH,MORADABAD,2011,3618,UTTAR PRADESH,4772006,75.81717207
UTTAR PRADESH,GHAZIABAD,2011,7813,UTTAR PRADESH,4681645,166.8857848
MAHARASHTRA,NAGPUR,2011,9298,MAHARASHTRA,4653570,199.8035917
TAMIL NADU,CHENNAI,2011,21861,TAMIL NADU,4646732,470.4596693
UTTAR PRADESH,AZAMGARH,2011,2173,UTTAR PRADESH,4613913,47.09668344
UTTAR PRADESH,LUCKNOW,2011,10538,UTTAR PRADESH,4589838,229.59416
