time,A & N ISLANDS,ANDHRA PRADESH,ARUNACHAL PRADESH,ASSAM,BIHAR,CHANDIGARH,CHHATTISGARH,D & N HAVELI,DAMAN & DIU,DELHI UT,GOA,GUJARAT,HARYANA,HIMACHAL PRADESH,JAMMU & KASHMIR,JHARKHAND,KARNATAKA,KERALA,LAKSHADWEEP,MADHYA PRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ODISHA,PUDUCHERRY,PUNJAB,RAJASTHAN,SIKKIM,TAMIL NADU,TRIPURA,UTTAR PRADESH,UTTARAKHAND,WEST BENGAL
2001,1316,260178,4684,73754,176864,6794,76920,700,478,108768,4682,206838,77518,22998,39010,50894,218196,207694,72,363482,342466,4978,3374,4492,2468,93322,8136,55548,310370,888,309602,5602,356258,16146,123126
2002,1216,287220,4456,72692,188080,7612,75900,698,522,98274,4880,213350,80304,24486,39934,62878,227398,208400,106,383598,330924,5168,3328,5640,2228,95456,8874,57588,302496,970,333884,6150,292074,15952,117924
2003,1288,313902,4122,76390,184526,5612,76898,676,538,94808,4488,207418,77224,24022,42466,64406,224810,197648,62,382156,328612,5074,3338,6912,1952,94562,9034,57512,291158,886,314372,7028,190146,15846,122348
2004,1496,317512,4512,81350,216120,5778,83854,818,396,107246,4254,210938,78192,24652,42382,62878,228880,208050,140,393734,352604,5070,3504,3030,1968,97478,9240,51260,309718,1262,333212,6162,260362,17268,138700
2005,1364,314246,4608,84012,195700,6266,87266,868,486,112130,4238,226828,85328,24690,40230,70350,235160,208700,84,378344,374054,5826,3760,4312,2098,103370,9150,54272,281834,1104,324720,6712,244216,16066,132812
2006,1352,347818,4588,87346,201330,6252,90354,870,576,115926,4408,241944,101018,26186,41574,72728,235420,210510,160,389422,383576,5768,3870,4146,2206,105584,9374,64136,283984,1406,297944,7880,254002,16824,136104
2007,1614,350174,4572,90564,218840,7286,91690,850,520,112130,4958,246390,103194,28444,42886,76978,241212,217060,112,404772,391414,6518,4158,4166,2360,109744,10108,71586,297740,1334,345508,8546,300516,19198,162204
2008,1764,358550,4748,106666,245338,7862,102884,802,496,98700,5484,247616,110688,27952,41208,77372,255080,221240,190,413112,412486,6698,4636,3978,2404,113510,9978,70628,302348,1460,353666,10672,337992,17712,210838
2009,1882,360882,4724,110626,245862,7110,102740,884,552,100502,6010,230366,112458,26630,43950,74872,268084,236738,268,415524,399196,5704,4896,4094,2118,111480,9182,71090,333130,1338,349382,10972,345768,17604,226072
2010,1960,362876,4878,123336,254906,6746,109916,756,406,102584,6586,232878,118240,26098,46446,77778,284644,296626,84,428538,416336,5430,5010,4348,2118,112918,7870,73296,325914,1104,371356,11610,348358,18480,259232
2011,1586,379560,4572,133428,271792,7084,114436,744,448,106706,6898,246742,121482,28624,49008,71676,275200,344274,88,434188,409804,6436,5510,3642,2166,122554,8724,69766,331244,1192,385758,11606,390270,17548,286394
2012,1366,385044,4840,155364,293228,7212,109196,636,478,108574,7216,260242,124960,25114,49216,81892,268042,317978,120,440670,405400,7474,5114,3532,2180,135914,8562,71580,341896,1056,400948,12528,396186,17764,322854
