year,name,n
2001,MURDER,35655
2002,MURDER,34759
2003,MURDER,32231
2004,MURDER,33127
2005,MURDER,32264
2006,MURDER,32005
2007,MURDER,31823
2008,MURDER,32212
2009,MURDER,31817
2010,MURDER,32770
2011,MURDER,33762
2012,MURDER,33913
2001,ATTEMPT TO MURDER,31013
2002,ATTEMPT TO MURDER,29940
2003,ATTEMPT TO MURDER,25535
2004,ATTEMPT TO MURDER,27371
2005,ATTEMPT TO MURDER,27564
2006,ATTEMPT TO MURDER,26720
2007,ATTEMPT TO MURDER,26871
2008,ATTEMPT TO MURDER,28209
2009,ATTEMPT TO MURDER,28669
2010,ATTEMPT TO MURDER,29110
2011,ATTEMPT TO MURDER,30999
2012,ATTEMPT TO MURDER,34699
2001,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,3304
2002,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,3556
2003,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,3964
2004,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,3855
2005,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,3514
2006,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,3460
2007,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,3550
2008,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,3797
2009,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,3846
2010,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,3711
2011,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,3636
2012,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,3538
2001,RAPE,15694
2002,RAPE,15970
2003,RAPE,15357
2004,RAPE,17682
2005,RAPE,17701
2006,RAPE,18725
2007,RAPE,20139
2008,RAPE,21001
2009,RAPE,20928
2010,RAPE,21665
2011,RAPE,23634
2012,RAPE,24217
2001,CUSTODIAL RAPE,0
2002,CUSTODIAL RAPE,3
2003,CUSTODIAL RAPE,1
2004,CUSTODIAL RAPE,2
2005,CUSTODIAL RAPE,7
2006,CUSTODIAL RAPE,2
2007,CUSTODIAL RAPE,1
2008,CUSTODIAL RAPE,0
2009,CUSTODIAL RAPE,2
2010,CUSTODIAL RAPE,6
2011,CUSTODIAL RAPE,1
2012,CUSTODIAL RAPE,1
2001,OTHER RAPE,15694
2002,OTHER RAPE,15967
2003,OTHER RAPE,15356
2004,OTHER RAPE,17680
2005,OTHER RAPE,17694
2006,OTHER RAPE,18723
2007,OTHER RAPE,20138
2008,OTHER RAPE,21001
