word,size
MADHYA PRADESH,2413770
MAHARASHTRA,2273436
TAMIL NADU,2060176
ANDHRA PRADESH,2018981
UTTAR PRADESH,1858074
RAJASTHAN,1855916
KARNATAKA,1481063
KERALA,1437459
GUJARAT,1385775
BIHAR,1346293
DELHI,1266348
WEST BENGAL,1119304
ODISHA,647946
ASSAM,597764
HARYANA,595303
CHHATTISGARH,561027
JHARKHAND,422351
PUNJAB,384131
JAMMU AND KASHMIR,259155
HIMACHAL PRADESH,154948
UTTARAKHAND,103204
PONDICHERRY,54116
TRIPURA,52734
CHANDIGARH,40807
MANIPUR,35072
GOA,32051
ARUNACHAL PRADESH,27652
MIZORAM,26146
MEGHALAYA,25249
NAGALAND,13133
ANDAMAN AND NICOBAR ISLANDS,9102
SIKKIM,7000
DADRA AND NAGAR HAVELI,4651
DAMAN AND DIU,2948
LAKSHADWEEP,743
