word,size
THEFT,3732076
HURT/GREVIOUS HURT,3394086
OTHER THEFT,2334689
AUTO THEFT,1397387
BURGLARY,1140894
CAUSING DEATH BY NEGLIGENCE,1009367
CRUELTY BY HUSBAND OR HIS RELATIVES,890412
CHEATING,793725
RIOTS,775923
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,460689
MURDER,408748
KIDNAPPING & ABDUCTION,381940
ATTEMPT TO MURDER,357254
KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,279557
ROBBERY,254728
RAPE,245561
OTHER RAPE,245535
CRIMINAL BREACH OF TRUST,188746
INSULT TO MODESTY OF WOMEN,125741
ARSON,114268
KIDNAPPING AND ABDUCTION OF OTHERS,102383
DOWRY DEATHS,92784
DACOITY,59790
CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,45497
PREPARATION AND ASSEMBLY FOR DACOITY,33182
COUNTERFIETING,27238
CUSTODIAL RAPE ,26
