YEAR,CRIME,TOTAL
2006,HURT/GREVIOUS HURT,262930
2006,THEFT,256856
2006,OTHER THEFT,175271
2006,BURGLARY,89716
2006,AUTO THEFT,81585
2006,CAUSING DEATH BY NEGLIGENCE,78146
2006,CRUELTY BY HUSBAND OR HIS RELATIVES,61400
2006,RIOTS,56554
2006,CHEATING,55763
2006,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,35899
2006,MURDER,32005
2006,ATTEMPT TO MURDER,26720
2006,KIDNAPPING & ABDUCTION,22549
2006,RAPE,18725
2006,OTHER RAPE,18723
2006,ROBBERY,17915
2006,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,16348
2006,CRIMINAL BREACH OF TRUST,13194
2006,INSULT TO MODESTY OF WOMEN,9822
2006,ARSON,8447
2006,DOWRY DEATHS,7481
2006,KIDNAPPING AND ABDUCTION OF OTHERS,6201
2006,DACOITY,4733
2006,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,3460
2006,PREPARATION AND ASSEMBLY FOR DACOITY,2929
2006,COUNTERFIETING,2127
2006,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,67
2006,CUSTODIAL RAPE,2
